starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 24 23:44:00 2015	1422164640	0	3760	3760	3758
Sat Jan 24 23:43:40 2015	1422164620	0	3764	3764	3505
Sat Jan 24 23:44:00 2015	1422164640	0	3764	3764	3713
Sat Jan 24 23:43:37 2015	1422164617	0	3765	3765	3428
Sat Jan 24 23:43:42 2015	1422164622	0	3770	3770	3757
Sat Jan 24 23:43:51 2015	1422164631	0	3775	3775	3339
Sat Jan 24 23:43:46 2015	1422164626	0	3777	3777	3369
Sat Jan 24 23:43:49 2015	1422164629	0	3790	3791	3778
Sat Jan 24 23:43:40 2015	1422164620	0	3794	3794	3762
Sat Jan 24 23:43:46 2015	1422164626	0	3797	3797	3617
Sat Jan 24 23:43:41 2015	1422164621	1	3804	3805	3702
Sat Jan 24 23:43:35 2015	1422164615	12	3795	3807	3608
Sat Jan 24 23:43:35 2015	1422164615	78	3731	3808	3569
Sat Jan 24 23:43:47 2015	1422164627	0	3808	3809	3451
Sat Jan 24 23:43:49 2015	1422164629	0	3810	3810	3780
Sat Jan 24 23:43:49 2015	1422164629	0	3812	3812	3505
Sat Jan 24 23:43:54 2015	1422164634	0	3812	3813	3696
Sat Jan 24 23:43:41 2015	1422164621	0	3813	3813	3782
Sat Jan 24 23:43:52 2015	1422164632	0	3817	3817	3292
Sat Jan 24 23:44:00 2015	1422164640	0	3833	3834	3673
Sat Jan 24 23:43:39 2015	1422164619	0	3835	3836	3656
Sat Jan 24 23:43:44 2015	1422164624	0	3839	3839	3538
Sat Jan 24 23:43:35 2015	1422164615	3	3840	3843	3604
Sat Jan 24 23:43:58 2015	1422164638	1	3842	3843	3719
Sat Jan 24 23:43:35 2015	1422164615	77	3766	3844	3412
Sat Jan 24 23:43:44 2015	1422164624	0	3850	3851	3695
Sat Jan 24 23:43:51 2015	1422164631	0	3852	3852	3842
Sat Jan 24 23:43:35 2015	1422164615	78	3795	3873	3551
Sat Jan 24 23:43:43 2015	1422164623	0	3883	3883	3612
Sat Jan 24 23:43:44 2015	1422164624	0	3885	3885	3853
Sat Jan 24 23:43:44 2015	1422164624	0	3888	3888	3799
Sat Jan 24 23:43:35 2015	1422164615	4	3892	3895	3724
Sat Jan 24 23:43:43 2015	1422164623	0	3906	3907	3862
Sat Jan 24 23:43:39 2015	1422164619	0	3906	3907	3860
Sat Jan 24 23:43:35 2015	1422164615	78	3833	3911	3559
Sat Jan 24 23:43:51 2015	1422164631	20	3911	3930	3895
Sat Jan 24 23:43:35 2015	1422164615	4	3939	3943	3323
Sat Jan 24 23:43:55 2015	1422164635	1	3958	3959	3863
Sat Jan 24 23:43:48 2015	1422164628	0	3970	3971	3773
Sat Jan 24 23:43:35 2015	1422164615	3	3971	3975	3763
Sat Jan 24 23:43:53 2015	1422164633	0	3977	3977	3770
Sat Jan 24 23:43:43 2015	1422164623	0	3983	3983	3854
Sat Jan 24 23:43:35 2015	1422164615	77	3906	3983	3682
Sat Jan 24 23:43:53 2015	1422164633	0	3990	3990	3916
Sat Jan 24 23:43:51 2015	1422164631	0	3996	3996	3890
Sat Jan 24 23:43:35 2015	1422164615	4	3994	3997	3885
Sat Jan 24 23:44:00 2015	1422164640	0	4008	4009	4006
Sat Jan 24 23:43:40 2015	1422164620	0	4011	4011	3843
